probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven,dislist,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,ins.started,text.started,ins.stopped,cue.started,cuesti.started,cueblank.started,cuesti.stopped,cueblank.stopped,cue.stopped,dis1.started,text_3.started,text_3.stopped,dis1.stopped,firsTar.started,text_5.started,text_5.stopped,firsTar.stopped,probe.started,text_FLK1.started,text_4.started,text_FLK1.stopped,text_4.stopped,text_FLK2.started,text_FLK2.stopped,probe.stopped,AskColor.started,text_6.started,text_6.stopped,text_7.started,key_resp.started,text_7.stopped,text_8.started,key_resp.stopped,text_8.stopped,AskColor.stopped,key_resp.keys,key_resp.corr,AskRelated.started,text_2.started,text_2.stopped,text_11.started,key_resp_2.started,text_11.stopped,text_10.started,key_resp_2.stopped,text_10.stopped,AskRelated.stopped,key_resp_2.keys,key_resp_2.corr,T1_stimulus,T2_stimulus,T1_response,T2_response,T1_accuracy,T2_accuracy,T1_RT,T2_RT,distractors,ISI,stimulus_duration,trial_number,trial_type,oddeven,relatedu,participant,session,date,expName,psychopyVersion,frameRate,expStart,
猫咪,小猫, f,0:09,0.0,0:03,六六,j,草车,0,0,0,3,,,,,,,,,0,4,4,2,4.931701399968006,,,,,,,,,,,4.917352700023912,4.931701399968006,5.015329999965616,5.000165699981153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
思考,沉思, f,0:09,0.0,0:12,三三,f,草车,0,1,1,4,,,,,0,0,0,2,,,,,15.948003500001505,,,,,13.000739100039937,13.014626799966209,14.014621800044551,14.014621800044551,15.014722799998708,14.999976600054651,15.939259200007655,15.948003500001505,16.031398299965076,16.016945600043982,15.7494025999913,15.864476099959575,15.948003500001505,15.933113500010222,,,,,,,,,5.00022699998226,5.015329999965616,6.015177199966274,6.015177199966274,6.015177199966274,8.014936699997634,8.014936699997634,8.014936699997634,9.015249000047334,9.000212399987504,None,0,9.000443500000983,9.015249000047334,10.015054099960253,10.015054099960253,10.015054099960253,12.015458700014278,12.015458700014278,12.015458700014278,13.014626799966209,13.000205700052902,None,0,猫咪,小猫,None,None,0,0,[],[],草车,0.083,0.083,0,AB,f, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
思考,沉思, f,0:09,0.0,0:12,三三,f,队吞,0,1,1,4,,,,,0,1,1,4,,,,,16.031398299965076,,,,,,,,,,,16.017153699998744,16.031398299965076,16.11478119995445,16.100267400033772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
思考,沉思, f,0:09,0.0,0:12,三三,f,方久,0,1,1,4,,,,,0,2,2,3,,,,,16.11478119995445,,,,,,,,,,,16.100482400041074,16.11478119995445,16.197897600010037,16.183294899994507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
思考,沉思, f,0:09,0.0,0:12,三三,f,盖凳,0,1,1,4,,,,,0,3,3,1,,,,,16.197897600010037,,,,,,,,,,,16.183487799949944,16.197897600010037,16.281338899978437,16.266484900028445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
思考,沉思, f,0:09,0.0,0:12,三三,f,钢士,0,1,1,4,,,,,0,4,4,0,,,,,16.281338899978437,,,,,,,,,,,16.266665800008923,16.281338899978437,16.364183399942704,16.349839900038205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
思考,沉思, f,0:09,0.0,0:12,三三,f,盖凳,0,1,1,4,,,,,,,,,0,0,0,1,16.614769599982537,,,,,,,,,,,16.605789000052027,16.614769599982537,16.69799699995201,16.683051400003023,,,,,16.349900500033982,16.364183399942704,16.44820810004603,16.44820810004603,16.531342800008133,16.531342800008133,16.614769599982537,16.60011460003443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
思考,沉思, f,0:09,0.0,0:12,三三,f,钢士,0,1,1,4,,,,,,,,,0,1,1,0,16.69799699995201,,,,,,,,,,,16.683233999996446,16.69799699995201,16.78161750000436,16.766694399993867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
思考,沉思, f,0:09,0.0,0:12,三三,f,队吞,0,1,1,4,,,,,,,,,0,2,2,4,16.78161750000436,,,,,,,,,,,16.766872699954547,16.78161750000436,16.864498700015247,16.84944599994924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
思考,沉思, f,0:09,0.0,0:12,三三,f,草车,0,1,1,4,,,,,,,,,0,3,3,2,16.864498700015247,,,,,,,,,,,16.849625000031665,16.864498700015247,16.94778559997212,16.933142900001258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
思考,沉思, f,0:09,0.0,0:12,三三,f,方久,0,1,1,4,,,,,,,,,0,4,4,3,16.94778559997212,,,,,,,,,,,16.93333699996583,16.94778559997212,17.031120499945246,17.016525499988347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
窗帘,帘幔, f,0:09,0:02,0:07,九九,j,方久,0,2,2,2,,,,,0,0,0,3,,,,,27.964714900008403,,,,,25.01941359997727,25.047784200054593,26.0317879000213,26.048598899971694,27.047226099995896,27.018802599981427,27.950265899999067,27.964714900008403,27.698109499993734,28.036414899979718,27.771714200032875,27.86613970005419,27.964714900008403,27.936022100038826,,,,,,,,,17.01659140002448,17.031120499945246,18.031197399948724,18.031197399948724,18.031197399948724,20.03112499997951,20.03112499997951,20.03112499997951,21.031432799994946,21.016364900046028,None,0,21.016522099962458,21.031432799994946,22.031026900047436,22.031026900047436,22.031026900047436,24.030823300010525,24.030823300010525,24.030823300010525,,25.01887439994607,None,0,思考,沉思,None,None,0,0,[],[],方久,0.083,0.083,1,AB,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
窗帘,帘幔, f,0:09,0:02,0:07,九九,j,草车,0,2,2,2,,,,,0,1,1,2,,,,,28.04833270004019,,,,,,,,,,,28.036857199971564,28.04833270004019,,28.119950499967672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
窗帘,帘幔, f,0:09,0:02,0:07,九九,j,钢士,0,2,2,2,,,,,0,2,2,0,,,,,28.13166019995697,,,,,,,,,,,28.12033219996374,28.13166019995697,,28.20252549997531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
窗帘,帘幔, f,0:09,0:02,0:07,九九,j,盖凳,0,2,2,2,,,,,0,3,3,1,,,,,28.216892799944617,,,,,,,,,,,28.202937199966982,28.216892799944617,,28.283369199954905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
窗帘,帘幔, f,0:09,0:02,0:07,九九,j,队吞,0,2,2,2,,,,,0,4,4,4,,,,,28.2975168999983,,,,,,,,,,,28.28362909995485,28.2975168999983,,28.36583669995889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
窗帘,帘幔, f,0:09,0:02,0:07,九九,j,盖凳,0,2,2,2,,,,,,,,,0,0,0,1,28.631649099988863,,,,,,,,,,,28.61081019998528,28.631649099988863,,28.70103100000415,,,,,28.36591509997379,28.380770300049335,28.447817499982193,28.464431899948977,28.530483899987303,28.530483899987303,28.631649099988863,28.60103729995899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
窗帘,帘幔, f,0:09,0:02,0:07,九九,j,草车,0,2,2,2,,,,,,,,,0,1,1,2,28.714251999976113,,,,,,,,,,,28.701526100048795,28.714251999976113,,28.78247860004194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
窗帘,帘幔, f,0:09,0:02,0:07,九九,j,方久,0,2,2,2,,,,,,,,,0,2,2,3,28.79760609997902,,,,,,,,,,,28.78268659999594,28.79760609997902,,28.86864430003334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
窗帘,帘幔, f,0:09,0:02,0:07,九九,j,队吞,0,2,2,2,,,,,,,,,0,3,3,4,28.882018300006166,,,,,,,,,,,28.869007000001147,28.882018300006166,,28.952216599951498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
窗帘,帘幔, f,0:09,0:02,0:07,九九,j,钢士,0,2,2,2,,,,,,,,,0,4,4,0,28.964744600001723,,,,,,,,,,,28.95259120000992,28.964744600001723,,29.039207400055602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
商店,店铺, f,0:06,0:06,0:09,七七,j,钢士,0,3,3,1,,,,,0,0,0,0,,,,,39.74777220003307,,,,,37.03520699997898,37.04726699995808,38.031073400052264,38.04815030004829,39.04664469999261,39.01730459998362,39.72690240002703,39.74777220003307,,39.80417120002676,39.540724299964495,39.63090770004783,39.74777220003307,39.70577500003856,,,,,,,,,29.03935730003286,29.04945139994379,30.06482790003065,30.031662499997765,30.031662499997765,32.03145060001407,32.03145060001407,32.03145060001407,33.03096150001511,33.019282300025225,None,0,33.01957390003372,33.03096150001511,34.031807200051844,34.031807200051844,34.031807200051844,36.033027500030585,36.033027500030585,36.033027500030585,,37.03466739994474,None,0,窗帘,帘幔,None,None,0,0,[],[],钢士,0.083,0.083,2,AB,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
商店,店铺, f,0:06,0:06,0:09,七七,j,草车,0,3,3,1,,,,,0,1,1,2,,,,,39.815924800001085,,,,,,,,,,,39.80465299997013,39.815924800001085,,39.886358999996446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
商店,店铺, f,0:06,0:06,0:09,七七,j,盖凳,0,3,3,1,,,,,0,2,2,1,,,,,39.8981440999778,,,,,,,,,,,39.886823200038634,39.8981440999778,,39.969628300052136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
商店,店铺, f,0:06,0:06,0:09,七七,j,方久,0,3,3,1,,,,,0,3,3,3,,,,,39.98141430004034,,,,,,,,,,,39.9700187999988,39.98141430004034,,40.05194629996549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
商店,店铺, f,0:06,0:06,0:09,七七,j,队吞,0,3,3,1,,,,,0,4,4,4,,,,,40.06532900000457,,,,,,,,,,,40.05233630002476,40.06532900000457,,40.13505909999367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
商店,店铺, f,0:06,0:06,0:09,七七,j,钢士,0,3,3,1,,,,,,,,,0,0,0,0,40.39796129998285,,,,,,,,,,,40.3847615000559,40.39796129998285,,40.46864199999254,,,,,40.13516880001407,40.1468563999515,40.214235199964605,40.23079139995389,40.29800429998431,40.29800429998431,40.39796129998285,40.37088920001406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
商店,店铺, f,0:06,0:06,0:09,七七,j,盖凳,0,3,3,1,,,,,,,,,0,1,1,1,40.48164580005687,,,,,,,,,,,40.468970000045374,40.48164580005687,,40.551174900028855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
商店,店铺, f,0:06,0:06,0:09,七七,j,方久,0,3,3,1,,,,,,,,,0,2,2,3,40.56533919996582,,,,,,,,,,,40.55150439997669,40.56533919996582,,40.634064199985005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
商店,店铺, f,0:06,0:06,0:09,七七,j,草车,0,3,3,1,,,,,,,,,0,3,3,2,40.647743099951185,,,,,,,,,,,40.634407000034116,40.647743099951185,,40.71931399998721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
商店,店铺, f,0:06,0:06,0:09,七七,j,队吞,0,3,3,1,,,,,,,,,0,4,4,4,40.731577200000174,,,,,,,,,,,40.71966419997625,40.731577200000174,,40.802447400055826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
手部,脚部, f,0:06,0:02,0:03,四四,j,队吞,0,4,4,0,,,,,0,0,0,4,,,,,51.48017690004781,,,,,48.78622789995279,48.797093600034714,49.79753650003113,49.79753650003113,50.81384169997182,50.785290800035,51.47309470002074,51.48017690004781,51.56358309998177,51.549446400022134,51.30117850005627,51.39738540002145,51.48017690004781,51.46607089997269,,,,,,,,,40.80255040002521,40.81456680002157,41.813910000026226,41.797806499991566,41.797806499991566,43.79862540005706,43.79862540005706,43.79862540005706,,44.801105799968354,None,0,44.80136579996906,44.814490300021134,45.814033000031486,45.79713379999157,45.79713379999157,47.79694459994789,47.79694459994789,47.79694459994789,48.797093600034714,48.78570160001982,None,0,商店,店铺,None,None,0,0,[],[],队吞,0.083,0.083,3,AB,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
手部,脚部, f,0:06,0:02,0:03,四四,j,盖凳,0,4,4,0,,,,,0,1,1,1,,,,,51.56358309998177,,,,,,,,,,,51.549696999951266,51.56358309998177,51.64689149998594,51.63461319997441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
手部,脚部, f,0:06,0:02,0:03,四四,j,钢士,0,4,4,0,,,,,0,2,2,0,,,,,51.64689149998594,,,,,,,,,,,51.63497130002361,51.64689149998594,51.73081350000575,51.71623290004209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
手部,脚部, f,0:06,0:02,0:03,四四,j,方久,0,4,4,0,,,,,0,3,3,3,,,,,51.73081350000575,,,,,,,,,,,51.71646539994981,51.73081350000575,51.81403420004062,51.79939209995791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
手部,脚部, f,0:06,0:02,0:03,四四,j,草车,0,4,4,0,,,,,0,4,4,2,,,,,51.81403420004062,,,,,,,,,,,51.79960240004584,51.81403420004062,51.89698970003519,51.88267049996648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
手部,脚部, f,0:06,0:02,0:03,四四,j,队吞,0,4,4,0,,,,,,,,,0,0,0,4,52.16408659995068,,,,,,,,,,,52.148145299986936,52.16408659995068,,52.218174700043164,,,,,51.882739300024696,51.89698970003519,51.980642599985,51.980642599985,52.06458030000795,52.06458030000795,,52.13415980001446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
手部,脚部, f,0:06,0:02,0:03,四四,j,草车,0,4,4,0,,,,,,,,,0,1,1,2,52.22977229999378,,,,,,,,,,,52.21850750001613,52.22977229999378,,52.30247849994339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
手部,脚部, f,0:06,0:02,0:03,四四,j,钢士,0,4,4,0,,,,,,,,,0,2,2,0,52.313517099944875,,,,,,,,,,,52.302825700026006,52.313517099944875,,52.3847487999592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
手部,脚部, f,0:06,0:02,0:03,四四,j,方久,0,4,4,0,,,,,,,,,0,3,3,3,52.39688709995244,,,,,,,,,,,52.38507960003335,52.39688709995244,,52.4675983999623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
手部,脚部, f,0:06,0:02,0:03,四四,j,盖凳,0,4,4,0,,,,,,,,,0,4,4,1,52.47992900002282,,,,,,,,,,,52.46791859995574,52.47992900002282,,52.55079919996206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
,, f,,,,,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.550914100022055,52.56438390002586,53.581663400051184,53.54636689997278,53.54636689997278,55.54721720004454,55.54721720004454,55.54721720004454,56.548096999991685,56.53784799994901,None,0,56.53826659999322,56.548096999991685,57.56386029999703,57.56386029999703,57.56386029999703,59.563774100039154,59.563774100039154,59.563774100039154,,60.55025069997646,None,0,手部,脚部,None,None,0,0,[],[],盖凳,0.083,0.083,4,AB,j, f,,,,,,,,
